1366719878 function calls (1324972940 primitive calls) in 1086.654 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    84104    0.016    0.000    0.016    0.000 numeric.py:219(_ones_like_dispatcher)
    84104    0.155    0.000    0.745    0.000 numeric.py:223(ones_like)
    83988    0.126    0.000    1.339    0.000 proj3d.py:188(_vec_pad_ones)
    83979    0.107    0.000    2.150    0.000 proj3d.py:197(proj_transform)
    81276    0.034    0.000    0.034    0.000 artist.py:199(axes)
    80616    0.038    0.000    0.049    0.000 __init__.py:1906(_str_equal)
    78951    0.075    0.000    0.075    0.000 backend_bases.py:868(set_antialiased)
    78951    0.028    0.000    0.028    0.000 backend_bases.py:873(set_capstyle)
    78951    0.038    0.000    0.038    0.000 backend_bases.py:938(set_joinstyle)
    78951    0.031    0.000    0.031    0.000 backend_bases.py:945(set_linewidth)
77364/76911    0.580    0.000    3.143    0.000 transforms.py:1025(get_points)
    77358    0.012    0.000    0.012    0.000 font_manager.py:676(get_family)
    77358    0.010    0.000    0.010    0.000 font_manager.py:688(get_style)
    77358    0.010    0.000    0.010    0.000 font_manager.py:695(get_variant)
    77358    0.010    0.000    0.010    0.000 font_manager.py:701(get_weight)
    77358    0.009    0.000    0.009    0.000 font_manager.py:710(get_stretch)
    77356    0.115    0.000    0.115    0.000 {method 'astype' of 'numpy.ndarray' objects}
    76464    0.010    0.000    0.010    0.000 font_manager.py:727(get_file)
    76462    0.166    0.000    0.259    0.000 font_manager.py:660(__hash__)
    76260    0.115    0.000    0.187    0.000 lines.py:1112(_split_drawstyle_linestyle)
    76233    0.046    0.000    0.469    0.000 lines.py:724(_get_transformed_path)
    76233    0.203    0.000    0.625    0.000 transforms.py:2710(_revalidate)
    76233    0.042    0.000    1.494    0.000 transforms.py:2749(get_affine)
    75939    0.378    0.000    0.392    0.000 stride_tricks.py:185(_broadcast_shape)
    75939    0.013    0.000    0.013    0.000 stride_tricks.py:202(_broadcast_arrays_dispatcher)
